Id,Label,timeset,comment,indegree,outdegree,Degree
1.4.2.tar.gz,1.4.2.tar.gz,,Archive,1,4,5
1.4.4.tar.gz,1.4.4.tar.gz,,Archive,1,4,5
1.4.7.tar.gz,1.4.7.tar.gz,,Archive,1,4,5
1.5.00.tar.gz,1.5.00.tar.gz,,Archive,1,4,5
1.5.2.tar.gz,1.5.2.tar.gz,,Archive,1,4,5
1.5.3.tar.bz2,1.5.3.tar.bz2,,Archive,2,4,6
1.6.3.zip,1.6.3.zip,,Archive,2,4,6
1.6.8.zip,1.6.8.zip,,Archive,2,4,6
1.6.tar.gz,1.6.tar.gz,,Archive,1,4,5
1.9.94-2,1.9.94-2,,None,8,5,13
1.999.130.tar.gz,1.999.130.tar.gz,,Archive,1,4,5
1.patch,1.patch,,Patch,4,5,9
10-execinfo.patch,10-execinfo.patch,,Patch,1,5,6
10.patch,10.patch,,Patch,1,5,6
1009_v4l1.patch,1009_v4l1.patch,,Patch,1,4,5
102.patch,102.patch,,Patch,8,5,13
107.patch,107.patch,,Patch,1,5,6
107358ddf5e1ca4fa56ef1a7ab161dc3b6adc45a.patch,107358ddf5e1ca4fa56ef1a7ab161dc3b6adc45a.patch,,Patch,1,5,6
109.15.03.tar.gz,109.15.03.tar.gz,,Archive,1,4,5
109.28.03.tar.gz,109.28.03.tar.gz,,Archive,1,4,5
10_deg_out_of_range.patch,10_deg_out_of_range.patch,,Patch,1,5,6
10_repair_postscript,10_repair_postscript,,None,1,4,5
10f7c5ce5b422e9cbac59d466f3567a24c8831a4.patch,10f7c5ce5b422e9cbac59d466f3567a24c8831a4.patch,,Patch,1,5,6
11.patch,11.patch,,Patch,1,5,6
111.17.00.tar.gz,111.17.00.tar.gz,,Archive,1,4,5
111.28.00.tar.gz,111.28.00.tar.gz,,Archive,1,4,5
112.06.00.tar.gz,112.06.00.tar.gz,,Archive,1,4,5
112.17.00.tar.gz,112.17.00.tar.gz,,Archive,1,4,5
112.24.00.tar.gz,112.24.00.tar.gz,,Archive,10,4,14
112.24.01.tar.gz,112.24.01.tar.gz,,Archive,2,4,6
112.35.00.tar.gz,112.35.00.tar.gz,,Archive,1,4,5
113.00.00.tar.gz,113.00.00.tar.gz,,Archive,4,4,8
113.00.02.tar.gz,113.00.02.tar.gz,,Archive,1,4,5
113.33.03.tar.gz,113.33.03.tar.gz,,Archive,1,4,5
